BST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2013-7-1,21,17,12,12,9,8,88,63,34,1019,1017,1016,31,13,10,26,18,,0.00,3,,266
2013-7-2,18,14,11,13,11,8,94,76,52,1016,1011,1005,27,12,10,26,14,,0.00,4,Rain,212
2013-7-3,21,18,14,15,13,11,100,79,46,1017,1009,1003,31,12,7,24,18,,0.00,5,Rain,263
2013-7-4,24,18,12,16,13,3,94,71,42,1025,1020,1017,23,11,9,26,16,,0.00,5,,247
2013-7-5,26,19,12,15,12,10,100,65,27,1030,1028,1025,31,14,9,19,8,,0.00,1,,222
2013-7-6,28,21,14,16,12,11,88,58,25,1030,1029,1028,31,14,9,19,6,,0.00,2,,98
2013-7-7,29,23,16,16,14,10,94,59,21,1033,1031,1030,31,10,4,23,10,,0.00,1,Rain,62
2013-7-8,27,21,15,16,13,9,88,59,28,1034,1033,1030,31,16,10,21,13,,0.00,1,,53
2013-7-9,27,20,12,13,8,3,88,49,15,1031,1028,1025,31,21,10,16,13,32,0.00,,,51
2013-7-10,24,18,12,14,11,6,77,60,39,1027,1026,1024,31,18,10,24,13,,0.00,2,,39
2013-7-11,23,18,12,11,8,6,82,58,28,1027,1025,1024,31,17,10,16,13,,0.00,5,,50
2013-7-12,26,19,12,14,12,9,88,64,32,1027,1025,1023,31,18,10,13,8,,0.00,6,,59
2013-7-13,31,23,16,18,15,13,94,60,25,1025,1024,1023,31,16,10,26,8,,0.00,2,,27
2013-7-14,29,23,18,17,14,11,88,55,23,1025,1024,1022,31,17,10,19,10,,0.00,1,,308
2013-7-15,31,24,18,15,8,3,73,37,12,1024,1023,1022,31,23,10,18,8,,0.00,,,344
2013-7-16,31,24,17,15,13,11,82,47,23,1024,1023,1021,31,22,14,19,6,,0.00,,,284
2013-7-17,32,24,18,15,13,11,82,49,24,1025,1024,1023,23,16,10,19,8,,0.00,1,,180
2013-7-18,29,24,18,15,13,11,77,53,25,1027,1026,1025,29,18,10,21,11,,0.00,,,66
2013-7-19,29,22,16,15,12,9,73,52,24,1027,1025,1023,31,21,10,24,14,,0.00,,,70
2013-7-20,24,20,16,15,14,13,94,70,46,1025,1023,1021,31,12,10,23,14,,0.00,5,,60
2013-7-21,27,22,17,16,14,12,88,67,37,1022,1019,1017,26,12,9,19,14,,0.00,6,,76
2013-7-22,33,26,17,18,16,13,88,61,26,1018,1016,1014,27,9,5,23,10,39,0.00,1,Rain-Thunderstorm,146
2013-7-23,29,24,19,20,17,14,88,67,42,1015,1013,1012,26,11,10,26,10,,0.51,2,Rain-Thunderstorm,169
2013-7-24,27,21,15,15,14,12,94,68,39,1015,1014,1013,27,12,10,26,14,45,0.00,2,,237
2013-7-25,26,21,17,18,16,13,94,74,37,1014,1013,1012,23,11,4,24,13,,0.00,3,Rain,203
2013-7-26,27,20,14,15,13,10,94,63,29,1014,1012,1011,24,14,10,19,10,35,0.00,3,,228
2013-7-27,29,22,14,19,13,9,100,68,23,1011,1007,1002,26,12,6,24,8,,6.10,4,Rain-Thunderstorm,216
2013-7-28,24,19,14,16,14,12,100,73,39,1009,1007,1003,31,11,3,29,23,45,0.51,3,Rain,214
2013-7-29,24,20,16,16,14,12,100,77,40,1015,1011,1009,31,12,10,35,19,55,1.02,3,Rain-Thunderstorm,215
2013-7-30,22,18,15,18,16,14,100,88,68,1015,1013,1011,29,11,5,26,16,37,4.06,4,Rain,220
2013-7-31,24,20,17,18,16,13,94,79,61,1016,1015,1014,31,12,10,29,18,48,0.00,6,Rain,222
2013-8-1,34,25,16,19,17,14,100,62,28,1014,1009,1005,27,14,8,29,16,34,0.00,3,,164
2013-8-2,26,22,17,17,15,12,94,71,37,1010,1009,1008,27,12,10,26,16,45,3.05,4,Rain-Thunderstorm,213
2013-8-3,24,20,15,16,13,11,100,71,32,1019,1015,1010,31,12,10,32,19,39,0.00,2,Rain,218
2013-8-4,24,19,14,15,13,11,100,71,36,1020,1019,1017,31,12,10,26,16,42,0.00,2,,201
2013-8-5,23,19,16,16,14,12,95,78,43,1017,1012,1008,31,12,5,29,13,45,10.92,3,Rain,194
2013-8-6,22,17,12,14,11,8,94,65,31,1017,1016,1013,31,14,10,16,10,,0.25,2,,273
2013-8-7,23,19,14,13,10,7,88,58,29,1017,1014,1013,31,17,10,19,10,,0.00,1,,49
2013-8-8,25,19,12,13,10,7,82,57,27,1020,1019,1017,31,15,10,24,8,,0.00,1,,260
2013-8-9,24,20,16,17,12,8,100,64,31,1022,1019,1017,21,10,6,24,16,42,0.51,4,Rain,265
2013-8-10,23,18,13,10,8,6,77,54,30,1023,1022,1021,31,17,10,24,11,39,0.00,1,,280
2013-8-11,24,20,16,14,11,7,77,57,28,1021,1018,1016,29,13,10,29,16,,0.00,2,Rain,263
2013-8-12,21,17,13,11,8,5,88,58,29,1019,1017,1016,31,14,10,26,13,,0.00,1,,282
2013-8-13,21,16,11,13,10,6,88,69,32,1023,1022,1019,31,12,10,24,13,,0.25,2,Rain,282
2013-8-14,23,17,11,16,12,11,94,76,39,1024,1023,1021,31,11,5,26,10,35,0.76,4,Rain,238
2013-8-15,24,20,16,18,16,14,100,80,55,1021,1019,1016,11,9,5,32,16,52,0.00,4,Rain,221
2013-8-16,23,20,17,17,16,14,94,83,62,1016,1015,1014,31,12,9,23,16,,0.76,3,Rain,214
2013-8-17,21,17,14,16,14,12,94,80,51,1016,1012,1007,31,12,10,34,16,53,0.00,4,Rain,224
2013-8-18,24,20,16,17,13,10,94,69,40,1013,1010,1007,31,12,10,27,19,37,0.00,2,Rain,243
2013-8-19,23,18,12,11,9,7,88,58,30,1027,1020,1013,31,13,10,19,13,,0.00,3,,297
2013-8-20,24,18,12,12,9,7,88,58,27,1028,1027,1026,31,16,10,21,8,34,0.00,3,,250
2013-8-21,28,20,12,14,11,9,88,59,23,1027,1024,1021,31,17,10,16,10,,0.76,1,Rain,234
2013-8-22,24,20,16,18,17,15,100,85,63,1022,1020,1018,31,11,5,16,8,,0.51,2,Rain,126
2013-8-23,27,21,16,16,14,11,100,68,32,1018,1014,1011,23,8,4,21,14,,0.00,1,,108
